,movieId,original_title
0,862,Toy Story
1,8844,Jumanji
2,15602,Grumpier Old Men
3,31357,Waiting to Exhale
4,11862,Father of the Bride Part II
5,949,Heat
6,11860,Sabrina
7,45325,Tom and Huck
8,9091,Sudden Death
9,710,GoldenEye
10,9087,The American President
11,12110,Dracula: Dead and Loving It
12,21032,Balto
13,10858,Nixon
14,1408,Cutthroat Island
15,524,Casino
16,4584,Sense and Sensibility
17,5,Four Rooms
18,9273,Ace Ventura: When Nature Calls
19,11517,Money Train
20,8012,Get Shorty
21,1710,Copycat
22,9691,Assassins
23,12665,Powder
24,451,Leaving Las Vegas
25,16420,Othello
26,9263,Now and Then
27,17015,Persuasion
28,902,La Cité des Enfants Perdus
29,37557,摇啊摇，摇到外婆桥
30,9909,Dangerous Minds
31,63,Twelve Monkeys
32,9598,Babe
33,47018,Carrington
34,687,Dead Man Walking
35,139405,Across the Sea of Time
36,33689,It Takes Two
37,9603,Clueless
38,34615,"Cry, the Beloved Country"
39,31174,Richard III
40,11443,Dead Presidents
41,35196,Restoration
42,9312,Mortal Kombat
43,577,To Die For
44,11861,How To Make An American Quilt
45,807,Se7en
46,10530,Pocahontas
47,8391,When Night Is Falling
48,629,The Usual Suspects
49,117164,Guardian Angel
50,11448,Mighty Aphrodite
51,49133,Lamerica
52,26441,The Big Green
53,97406,Georgia
54,124057,Kids of the Round Table
55,9089,Home for the Holidays
56,11010,Il postino
57,99040,Le confessionnal
58,11359,The Indian in the Cupboard
59,17182,Eye for an Eye
60,2054,Mr. Holland's Opus
61,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
62,19760,Two If by Sea
63,9536,Bio-Dome
64,11525,Lawnmower Man 2: Beyond Cyberspace
65,40628,Two Bits
66,4482,Gazon maudit
67,10634,Friday
68,755,From Dusk Till Dawn
69,11859,Fair Game
70,28387,Kicking and Screaming
71,48750,Les misérables
72,20927,Bed of Roses
73,36929,Big Bully
74,9102,Screamers
75,124626,Nico Icon
76,27526,The Crossing Guard
77,9623,The Juror
78,46785,بادکنک سفید
79,400,Things to Do in Denver When You're Dead
80,880,Antonia
81,146599,Once Upon a Time... When We Were Colored
82,188588,Last Summer in the Hamptons
83,8447,Angels and Insects
84,10534,White Squall
85,17414,Dunston Checks In
86,13997,Black Sheep
87,2086,Nick of Time
88,61548,The Journey of August King
89,9095,Mary Reilly
90,12158,Vampire in Brooklyn
91,9283,Beautiful Girls
92,9208,Broken Arrow
93,40154,A Midwinter's Tale
94,406,La Haine
95,45549,Shopping
96,63076,Heidi Fleiss: Hollywood Madam
97,11062,City Hall
98,13685,Bottle Rocket
99,47475,Mr. Wrong
100,2045,Unforgettable
101,9614,Happy Gilmore
102,688,The Bridges of Madison County
103,11907,Keiner liebt mich
104,10874,Muppet Treasure Island
105,89333,Catwalk
106,96357,Headless Body in Topless Bar
107,197,Braveheart
